iter	Passed	Remaining
0	54	54518
1	55	27554
2	55	18529
3	56	13994
4	56	11279
5	57	9460
6	57	8173
7	58	7214
8	58	6464
9	59	5850
10	59	5353
11	59	4936
12	60	4585
13	60	4282
14	61	4022
15	61	3795
16	62	3594
17	62	3414
18	63	3255
19	63	3115
20	64	2986
21	64	2874
22	65	2767
23	65	2667
24	65	2573
25	66	2491
26	67	2417
27	67	2342
28	67	2276
29	68	2215
30	68	2156
31	69	2101
32	69	2048
33	70	1997
34	70	1949
35	71	1905
36	71	1864
37	72	1826
38	72	1789
39	73	1753
40	73	1718
41	73	1686
42	74	1656
43	74	1628
44	75	1602
45	76	1577
46	76	1552
47	76	1526
48	77	1502
49	77	1479
50	78	1457
51	78	1437
52	79	1418
53	79	1399
54	80	1380
55	81	1365
56	81	1348
57	82	1333
58	82	1318
59	83	1303
60	83	1287
61	84	1272
62	84	1258
63	85	1244
64	85	1233
65	86	1223
66	86	1210
67	87	1193
68	87	1181
69	88	1169
70	88	1158
71	89	1147
72	89	1135
73	89	1124
74	90	1113
75	90	1103
76	91	1093
77	91	1082
78	92	1073
79	92	1063
80	92	1054
81	93	1046
82	93	1037
83	94	1029
84	94	1018
85	95	1010
86	95	1001
87	95	993
88	96	986
89	96	977
90	97	970
91	97	962
92	98	955
93	98	949
94	98	941
95	99	935
96	99	929
97	100	923
98	100	917
99	101	911
100	101	904
101	101	896
102	102	890
103	102	884
104	103	878
105	103	873
106	103	867
107	104	861
108	104	855
109	105	850
110	105	845
111	105	839
112	106	834
113	106	829
114	107	824
115	107	818
116	107	814
117	108	809
118	108	804
119	109	800
120	109	795
121	109	790
122	110	784
123	110	780
124	110	776
125	111	772
126	111	767
127	111	762
128	112	758
129	112	754
130	113	751
131	113	747
132	114	743
133	114	740
134	114	736
135	115	733
136	115	729
137	116	726
138	116	723
139	117	720
140	117	716
141	118	713
142	118	710
143	119	707
144	119	704
145	120	702
146	120	699
147	121	697
148	121	694
149	122	691
150	122	689
151	123	686
152	123	683
153	123	680
154	124	677
155	124	674
156	125	672
157	125	669
158	126	666
159	126	665
160	127	664
161	128	662
162	128	660
163	129	658
164	129	655
165	130	653
166	130	650
167	130	648
168	131	645
169	131	643
170	132	641
171	132	638
172	133	636
173	133	633
174	134	631
175	134	629
176	134	626
177	135	624
178	135	622
179	136	620
180	136	617
181	137	616
182	137	614
183	138	613
184	138	611
185	142	624
186	143	622
187	143	620
188	144	618
189	144	616
190	145	614
191	145	611
192	145	609
193	146	607
194	146	605
195	147	603
196	147	601
197	147	599
198	148	597
199	148	594
200	149	593
201	149	591
202	150	590
203	150	589
204	153	594
205	153	592
206	154	592
207	155	591
208	155	589
209	156	587
210	156	585
211	157	583
212	157	581
213	157	580
214	158	578
215	158	576
216	159	574
217	159	573
218	160	571
219	160	569
220	161	568
221	161	567
222	162	565
223	162	564
224	163	563
225	163	561
226	164	560
227	164	558
228	165	557
229	166	557
230	167	557
231	169	560
232	169	559
233	170	557
234	170	556
235	171	555
236	171	553
237	172	551
238	172	549
239	173	547
240	173	546
241	173	544
242	174	542
243	174	540
244	174	539
245	175	537
246	175	536
247	176	534
248	176	533
249	177	531
250	177	529
251	178	528
252	178	528
253	179	526
254	179	525
255	180	524
256	180	522
257	181	521
258	181	520
259	182	518
260	182	517
261	183	516
262	184	515
263	184	514
264	184	512
265	185	511
266	185	510
267	186	508
268	186	507
269	187	505
270	187	504
271	188	503
272	188	502
273	189	501
274	189	499
275	190	498
276	190	497
277	190	496
278	191	494
279	191	493
280	192	492
281	192	491
282	193	490
283	194	489
284	194	488
285	195	487
286	195	485
287	198	489
288	198	488
289	199	487
290	199	486
291	200	485
292	200	483
293	201	482
294	201	481
295	202	480
296	202	479
297	202	478
298	203	476
299	203	475
300	204	474
301	204	473
302	205	472
303	205	471
304	206	470
305	206	469
306	207	467
307	207	466
308	208	465
309	208	464
310	208	462
311	209	461
312	210	461
313	210	460
314	211	459
315	211	458
316	212	457
317	212	456
318	213	454
319	213	453
320	213	452
321	214	451
322	214	450
323	215	449
324	215	448
325	216	446
326	216	446
327	217	444
328	217	444
329	218	443
330	218	441
331	219	441
332	219	440
333	220	439
334	220	438
335	221	437
336	221	436
337	222	435
338	222	434
339	223	434
340	224	433
341	224	432
342	225	431
343	225	430
344	226	429
345	226	428
346	227	427
347	227	426
348	228	425
349	228	424
350	229	423
351	229	422
352	229	421
353	230	420
354	230	419
355	231	418
356	231	417
357	232	416
358	232	415
359	233	414
360	234	414
361	234	413
362	235	413
363	235	411
364	236	411
365	238	412
366	238	411
367	239	410
368	239	409
369	240	409
370	240	408
371	241	407
372	242	406
373	242	405
374	242	404
375	243	403
376	243	402
377	244	401
378	244	400
379	245	400
380	245	398
381	245	397
382	246	397
383	247	396
384	247	395
385	248	394
386	248	393
387	249	392
388	249	392
389	250	391
390	251	391
391	251	390
392	252	389
393	252	388
394	253	387
395	253	386
396	254	385
397	254	385
398	255	384
399	255	383
400	256	382
401	256	381
402	256	380
403	257	379
404	257	378
405	258	377
406	258	377
407	259	376
408	260	375
409	260	375
410	261	374
411	263	375
412	263	375
413	264	374
414	264	373
415	265	372
416	265	371
417	266	370
418	266	369
419	267	368
420	267	368
421	268	367
422	268	366
423	269	365
424	269	364
425	270	364
426	270	363
427	271	362
428	271	361
429	272	360
430	273	360
431	273	360
432	274	359
433	274	358
434	275	357
435	275	356
436	276	356
437	276	355
438	277	354
439	278	354
440	278	353
441	279	352
442	280	352
443	280	351
444	281	350
445	282	350
446	282	349
447	283	349
448	283	348
449	284	347
450	285	347
451	285	346
452	286	345
453	286	344
454	287	344
455	288	344
456	289	343
457	290	343
458	290	342
459	290	341
460	291	340
461	291	340
462	292	339
463	292	338
464	293	337
465	293	336
466	294	336
467	294	335
468	295	334
469	295	333
470	296	332
471	296	331
472	297	330
473	297	330
474	298	329
475	298	328
476	299	328
477	299	327
478	300	326
479	300	326
480	301	325
481	301	324
482	302	323
483	302	322
484	303	322
485	305	322
486	305	322
487	306	321
488	306	320
489	307	320
490	307	319
491	308	318
492	309	317
493	309	317
494	309	316
495	310	315
496	311	314
497	311	314
498	312	313
499	312	312
500	313	311
501	313	311
502	314	310
503	314	309
504	315	309
505	316	308
506	316	307
507	317	307
508	317	306
509	318	305
510	318	305
511	319	304
512	319	303
513	320	302
514	320	302
515	321	301
516	321	300
517	322	300
518	322	299
519	323	298
520	323	297
521	324	297
522	324	296
523	325	295
524	325	294
525	326	294
526	327	293
527	327	292
528	328	292
529	328	291
530	329	290
531	329	289
532	330	289
533	330	288
534	331	287
535	331	287
536	332	286
537	332	285
538	333	285
539	334	284
540	334	283
541	334	283
542	335	282
543	335	281
544	336	280
545	336	279
546	336	278
547	337	278
548	337	277
549	338	276
550	338	275
551	338	275
552	339	274
553	340	273
554	340	273
555	340	272
556	341	271
557	341	270
558	342	269
559	342	269
560	342	268
561	343	267
562	343	266
563	344	266
564	344	265
565	345	264
566	345	263
567	346	263
568	346	262
569	347	261
570	347	261
571	348	260
572	348	260
573	349	259
574	349	258
575	349	257
576	350	256
577	350	256
578	351	255
579	351	254
580	352	253
581	352	253
582	352	252
583	353	251
584	353	250
585	354	250
586	354	249
587	355	248
588	355	248
589	355	247
590	356	246
591	356	245
592	357	245
593	357	244
594	358	243
595	358	243
596	359	242
597	359	241
598	360	241
599	360	240
600	360	239
601	361	238
602	361	238
603	361	237
604	362	236
605	362	235
606	363	235
607	363	234
608	363	233
609	364	232
610	364	232
611	364	231
612	365	230
613	365	229
614	366	229
615	366	228
616	367	227
617	367	227
618	368	226
619	368	225
620	368	225
621	369	224
622	369	223
623	370	223
624	370	222
625	371	221
626	371	220
627	371	220
628	372	219
629	372	218
630	373	218
631	373	217
632	373	216
633	374	216
634	375	215
635	375	214
636	375	214
637	376	213
638	376	212
639	377	212
640	377	211
641	378	211
642	379	210
643	379	209
644	379	209
645	380	208
646	380	207
647	381	207
648	381	206
649	382	205
650	382	205
651	383	204
652	383	203
653	384	203
654	384	202
655	385	201
656	385	201
657	386	200
658	386	200
659	387	199
660	387	198
661	387	198
662	388	197
663	388	196
664	388	195
665	389	195
666	389	194
667	390	193
668	390	193
669	391	192
670	391	192
671	392	191
672	392	190
673	393	190
674	393	189
675	394	188
676	394	188
677	394	187
678	395	186
679	395	186
680	396	185
681	397	185
682	397	184
683	398	184
684	398	183
685	399	182
686	399	182
687	400	181
688	400	180
689	401	180
690	401	179
691	401	178
692	402	178
693	402	177
694	402	176
695	403	176
696	403	175
697	403	174
698	404	174
699	404	173
700	405	172
701	405	172
